ano;cnae_2_descricao_secao;salario_medio;variable
2019;"Comércio; Reparação De Veículos Automotores E Motocicletas";1528.7654492015283;Admissões
2019;Construção;1465.5996586263288;Admissões
2019;Educação;1248.2193524283934;Admissões
2019;Indústrias De Transformação;2058.5682739343115;Admissões
2019;Indústrias Extrativas;2399.8518518518517;Admissões
2019;Informação E Comunicação;2094.9169295870006;Admissões
2019;Outras Atividades De Serviços;1428.7932484076432;Admissões
2019;Saúde Humana E Serviços Sociais;1664.0026719160105;Admissões
2019;Transporte, Armazenagem E Correio;1606.3483686920702;Admissões
2019;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1605.1807000000001;Admissões
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1424.0;Admissões
2020;Alojamento E Alimentação;1380.8816079384367;Admissões
2020;Artes, Cultura, Esporte E Recreação;1397.6596015936254;Admissões
2020;Atividades Administrativas E Serviços Complementares;1689.3561788784282;Admissões
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;3461.3341666666665;Admissões
2020;Atividades Imobiliárias;1615.6698113207547;Admissões
2020;Atividades Profissionais, Científicas E Técnicas;5237.543929721815;Admissões
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";1650.5475329781837;Admissões
2020;Construção;2052.396394984326;Admissões
2020;Educação;13712.550254515598;Admissões
2020;Indústrias De Transformação;4007.8224168270553;Admissões
2020;Informação E Comunicação;2537.1811447084237;Admissões
2020;Outras Atividades De Serviços;1732.1448648648648;Admissões
2020;Saúde Humana E Serviços Sociais;2013.843216612378;Admissões
2020;Transporte, Armazenagem E Correio;2532.2538885383806;Admissões
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1833.6505732484077;Admissões
2021;Administração Pública, Defesa E Seguridade Social;1808.2889516129032;Admissões
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1320.5714285714287;Admissões
2021;Alojamento E Alimentação;1403.3620718530524;Admissões
2021;Artes, Cultura, Esporte E Recreação;1947.3733529411763;Admissões
2021;Atividades Administrativas E Serviços Complementares;1912.5962062742922;Admissões
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;2222.59803945746;Admissões
2021;Atividades Imobiliárias;1599.1830414746541;Admissões
2021;Atividades Profissionais, Científicas E Técnicas;6511.5801274403475;Admissões
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";1716.6482876775078;Admissões
2021;Construção;2088.4764994984957;Admissões
2021;Educação;19973.300970766682;Admissões
2021;Indústrias De Transformação;12655.126878680801;Admissões
2021;Indústrias Extrativas;1439.0;Admissões
2021;Informação E Comunicação;3075.150634595701;Admissões
2021;Outras Atividades De Serviços;2126.411277213353;Admissões
2021;Saúde Humana E Serviços Sociais;1851.5587424471298;Admissões
2021;Transporte, Armazenagem E Correio;2748.4722047494242;Admissões
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1928.1541463414633;Admissões
2022;Administração Pública, Defesa E Seguridade Social;2409.997564102564;Admissões
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1371.7993333333334;Admissões
2022;Alojamento E Alimentação;1558.4622619502868;Admissões
2022;Artes, Cultura, Esporte E Recreação;1938.4114805825243;Admissões
2022;Atividades Administrativas E Serviços Complementares;2040.999074283205;Admissões
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;3357.623577106518;Admissões
