nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;variavel_dash
6;Município;40;Mil Reais;65912985.0;3534401;Osasco (SP);2015;2015;37;Produto Interno Bruto a preços correntes;0.7340713623573594;89790977.25366972;Total
6;Município;40;Mil Reais;13030758.0;3534401;Osasco (SP);2015;2015;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.7340713623573594;17751350.438401096;Impostos
6;Município;40;Mil Reais;747.0;3534401;Osasco (SP);2015;2015;513;Valor adicionado bruto a preços correntes da agropecuária;0.7340713623573594;1017.6122354114486;Agropecuária
6;Município;40;Mil Reais;3217638.0;3534401;Osasco (SP);2015;2015;517;Valor adicionado bruto a preços correntes da indústria;0.7340713623573594;4383276.837918103;Indústria
6;Município;40;Mil Reais;46931359.0;3534401;Osasco (SP);2015;2015;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.7340713623573594;63932965.385391176;Serviços
6;Município;40;Mil Reais;2732482.0;3534401;Osasco (SP);2015;2015;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.7340713623573594;3722365.6174585624;Administração
6;Município;40;Mil Reais;75683470.0;3534401;Osasco (SP);2016;2016;37;Produto Interno Bruto a preços correntes;0.7802444510496372;96999690.15887971;Total
6;Município;40;Mil Reais;15729561.0;3534401;Osasco (SP);2016;2016;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.7802444510496372;20159785.793849014;Impostos
6;Município;40;Mil Reais;947.0;3534401;Osasco (SP);2016;2016;513;Valor adicionado bruto a preços correntes da agropecuária;0.7802444510496372;1213.7221850485857;Agropecuária
6;Município;40;Mil Reais;3704862.0;3534401;Osasco (SP);2016;2016;517;Valor adicionado bruto a preços correntes da indústria;0.7802444510496372;4748334.954533763;Indústria
6;Município;40;Mil Reais;53621250.0;3534401;Osasco (SP);2016;2016;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.7802444510496372;68723654.39813778;Serviços
6;Município;40;Mil Reais;2626850.0;3534401;Osasco (SP);2016;2016;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.7802444510496372;3366701.2901741047;Administração
6;Município;40;Mil Reais;77927043.0;3534401;Osasco (SP);2017;2017;37;Produto Interno Bruto a preços correntes;0.8032616623556016;97013273.07402594;Total
