ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-13;1253.7591906721536
2015;Administração Pública, Defesa E Seguridade Social;-5549;1571.832650238367
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1;854.7142857142857
2015;Alojamento E Alimentação;-32;932.5147658079625
2015;Artes, Cultura, Esporte E Recreação;29;1154.2520236530881
2015;Atividades Administrativas E Serviços Complementares;-754;1059.5062918181818
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;-177;2697.260546697039
2015;Atividades Imobiliárias;4;1128.0396788990824
2015;Atividades Profissionais, Científicas E Técnicas;-49;1342.7693694651082
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";-758;1229.1441634084406
2015;Construção;1155;939.7665870260704
2015;Educação;-233;1277.9133894891045
2015;Eletricidade E Gás;-9;1234.1340425531916
2015;Indústrias De Transformação;-1675;2065.2439265405055
2015;Indústrias Extrativas;-54;1601.1936936936936
2015;Informação E Comunicação;-1823;1494.2247460119922
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;0;3168.0
2015;Outras Atividades De Serviços;-17;1202.8424856396866
2015;Saúde Humana E Serviços Sociais;-33;1252.9808345534407
2015;Serviços Domésticos;-4;1213.5714285714287
2015;Transporte, Armazenagem E Correio;-451;1373.4977316268212
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;1487.9001121794872
2016;Administração Pública, Defesa E Seguridade Social;-934;1394.8381598639455
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;111;1170.1910828025477
2016;Alojamento E Alimentação;-361;1067.7511208024423
2016;Artes, Cultura, Esporte E Recreação;13;1157.2013311148087
2016;Atividades Administrativas E Serviços Complementares;-913;1147.017204345792
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;-599;4544.157493952588
2016;Atividades Imobiliárias;-23;1350.426049822064
2016;Atividades Profissionais, Científicas E Técnicas;-248;1669.127370500439
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";-2128;1418.0440811965811
2016;Construção;-1256;1205.1199266593326
2016;Educação;-231;1416.1921962922572
2016;Eletricidade E Gás;0;8337.5
2016;Indústrias De Transformação;-2116;1868.583508531704
2016;Indústrias Extrativas;71;1451.3212621359223
2016;Informação E Comunicação;-1183;1821.7232535885169
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;-1;1195.7777777777778
2016;Outras Atividades De Serviços;-47;1281.044616846105
2016;Saúde Humana E Serviços Sociais;928;1073.7303122344945
2016;Serviços Domésticos;1;1343.0
2016;Transporte, Armazenagem E Correio;-629;1558.3191793448086
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31;1591.5638200339558
2017;Administração Pública, Defesa E Seguridade Social;-3544;1283.892983166418
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;12;604.8181481481481
2017;Alojamento E Alimentação;223;1121.4325328801538
2017;Artes, Cultura, Esporte E Recreação;21;1408.3464607679466
2017;Atividades Administrativas E Serviços Complementares;-31;1301.602134902959
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;-1747;6368.011104161001
2017;Atividades Imobiliárias;3;1489.469224489796
2017;Atividades Profissionais, Científicas E Técnicas;776;2505.1016330227744
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";-278;1518.2513399009474
2017;Construção;-442;1553.3691535908267
2017;Educação;-246;1811.209256243214
2017;Indústrias De Transformação;-1132;2373.8981373958036
2017;Indústrias Extrativas;-271;793.2333731343283
2017;Informação E Comunicação;-158;1902.3545445062587
2017;Organismos Internacionais E Outras Instituições Extraterritoriais;-1;1160.2307692307693
2017;Outras Atividades De Serviços;-115;1364.2400059988001
2017;Saúde Humana E Serviços Sociais;-1114;1150.8797330200769
2017;Serviços Domésticos;-2;690.0
2017;Transporte, Armazenagem E Correio;-78;1568.9843894993896
2017;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-18;1720.9216891891892
2018;Administração Pública, Defesa E Seguridade Social;-2554;1661.9470444344704
2018;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;9;1339.6097560975609
2018;Alojamento E Alimentação;433;1183.2317385462852
2018;Artes, Cultura, Esporte E Recreação;-44;1749.4750679347824
2018;Atividades Administrativas E Serviços Complementares;292;1243.7048809903304
2018;Atividades Financeiras, De Seguros E Serviços Relacionados;750;3872.7596345628417
2018;Atividades Imobiliárias;22;1467.9461301369863
2018;Atividades Profissionais, Científicas E Técnicas;454;2300.821753147654
2018;"Comércio; Reparação De Veículos Automotores E Motocicletas";975;1491.62210370143
2018;Construção;1805;826.3611538709886
2018;Educação;-79;1574.4309181494662
2018;Eletricidade E Gás;1;8910.0
2018;Indústrias De Transformação;361;2126.8491790393014
2018;Indústrias Extrativas;-13;1984.878048780488
2018;Informação E Comunicação;-125;2225.42399646955
2018;Outras Atividades De Serviços;-15;1514.8778370281605
2018;Saúde Humana E Serviços Sociais;-485;1461.3002494955053
2018;Serviços Domésticos;-1;1076.0
2018;Transporte, Armazenagem E Correio;243;1472.3977248847432
2018;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;106;1755.7291877256316
2019;Administração Pública, Defesa E Seguridade Social;-734;1380.4344219653178
2019;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-8;1429.3246052631578
2019;Alojamento E Alimentação;566;1223.197042407994
2019;Artes, Cultura, Esporte E Recreação;88;1562.173006872852
2019;Atividades Administrativas E Serviços Complementares;972;1911.6875425707892
2019;Atividades Financeiras, De Seguros E Serviços Relacionados;165;4539.811904180653
2019;Atividades Imobiliárias;0;1556.610763546798
2019;Atividades Profissionais, Científicas E Técnicas;344;2940.0264228491815
2019;"Comércio; Reparação De Veículos Automotores E Motocicletas";-190;1608.1960212589595
2019;Construção;625;1530.1532459875532
2019;Educação;102;1460.705252332485
2019;Indústrias De Transformação;-553;2030.3530714520186
2019;Indústrias Extrativas;-119;2139.3179190751443
2019;Informação E Comunicação;-488;2046.3054674796747
2019;Outras Atividades De Serviços;-69;1630.1726113483833
2019;Saúde Humana E Serviços Sociais;-33;1681.0999349466563
2019;Serviços Domésticos;-3;15.64
2019;Transporte, Armazenagem E Correio;101;1681.4997596003745
2019;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;47;1712.4090596745027
2020;Administração Pública, Defesa E Seguridade Social;-456;1780.499846491228
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;1136.75
2020;Alojamento E Alimentação;-925;1378.68169196657
2020;Artes, Cultura, Esporte E Recreação;-56;3481.1673297491043
2020;Atividades Administrativas E Serviços Complementares;2861;1660.960834246834
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;-983;4876.142876198416
2020;Atividades Imobiliárias;-26;1841.1581104651164
2020;Atividades Profissionais, Científicas E Técnicas;1078;4724.896032684283
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";-551;1695.9223841431108
2020;Construção;17;2513.9270297251824
2020;Educação;-248;20067.3302757079
2020;Indústrias De Transformação;-519;4197.556585397151
2020;Informação E Comunicação;-183;2556.3706637509645
2020;Outras Atividades De Serviços;-181;1729.7442469597756
2020;Saúde Humana E Serviços Sociais;-118;1921.583613053613
2020;Transporte, Armazenagem E Correio;-301;2170.486094180002
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-41;2177.978985915493
2021;Administração Pública, Defesa E Seguridade Social;-17;2184.3982641509438
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;7;1312.404761904762
2021;Alojamento E Alimentação;575;1440.2376599794993
2021;Artes, Cultura, Esporte E Recreação;73;1773.554085667216
2021;Atividades Administrativas E Serviços Complementares;8576;1885.6028141307895
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;17;2494.034286604361
2021;Atividades Imobiliárias;49;1624.6179220779222
2021;Atividades Profissionais, Científicas E Técnicas;2778;5889.01439368632
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";3344;1737.2850974799087
2021;Construção;1809;2260.507800642028
2021;Educação;116;21844.408723646724
2021;Indústrias De Transformação;811;8138.926993708009
2021;Indústrias Extrativas;1;1439.0
2021;Informação E Comunicação;878;2971.8547953451043
2021;Outras Atividades De Serviços;-40;2157.130987306065
2021;Saúde Humana E Serviços Sociais;686;1882.863659436009
2021;Transporte, Armazenagem E Correio;6898;2569.711764384161
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;43;2061.03008908686
2022;Administração Pública, Defesa E Seguridade Social;1;2685.257419354839
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;8;1417.9934615384616
2022;Alojamento E Alimentação;663;1528.1078983362254
2022;Artes, Cultura, Esporte E Recreação;131;1979.6745743145743
2022;Atividades Administrativas E Serviços Complementares;3513;1966.1960667629435
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;-93;3639.5607623982232
