ano;cnae_2_descricao_secao;media_idade;variable
2014;Atividades Imobiliárias;30.302839116719245;Admissões
2014;Atividades Profissionais, Científicas E Técnicas;29.34536082474227;Admissões
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.824670824670825;Admissões
2014;Construção;32.86966225264098;Admissões
2014;Educação;27.986945169712794;Admissões
2014;Indústrias De Transformação;29.672120418848166;Admissões
2014;Indústrias Extrativas;33.401162790697676;Admissões
2014;Informação E Comunicação;30.59312728751525;Admissões
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;26.176470588235293;Admissões
2014;Outras Atividades De Serviços;32.25847457627118;Admissões
2014;Saúde Humana E Serviços Sociais;30.549881796690308;Admissões
2014;Serviços Domésticos;42.36363636363637;Admissões
2014;Transporte, Armazenagem E Correio;32.14886585549046;Admissões
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31.175977653631286;Admissões
2015;Administração Pública, Defesa E Seguridade Social;43.679152397260275;Admissões
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;20.6;Admissões
2015;Alojamento E Alimentação;27.335919134931828;Admissões
2015;Artes, Cultura, Esporte E Recreação;30.815189873417722;Admissões
2015;Atividades Administrativas E Serviços Complementares;29.946625247105338;Admissões
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;24.017839444995044;Admissões
2015;Atividades Imobiliárias;32.52272727272727;Admissões
2015;Atividades Profissionais, Científicas E Técnicas;30.47945205479452;Admissões
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.1857961522718;Admissões
2015;Construção;33.23450713113719;Admissões
2015;Educação;30.23488905891354;Admissões
2015;Eletricidade E Gás;25.68421052631579;Admissões
2015;Indústrias De Transformação;30.300265134776843;Admissões
2015;Indústrias Extrativas;35.01190476190476;Admissões
2015;Informação E Comunicação;29.485176738882554;Admissões
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;32.333333333333336;Admissões
2015;Outras Atividades De Serviços;32.29399367755532;Admissões
2015;Saúde Humana E Serviços Sociais;30.56475458308693;Admissões
2015;Serviços Domésticos;36.8;Admissões
2015;Transporte, Armazenagem E Correio;32.217006348145674;Admissões
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;32.76699029126213;Admissões
2016;Administração Pública, Defesa E Seguridade Social;41.8362312980186;Admissões
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;31.776119402985074;Admissões
2016;Alojamento E Alimentação;27.287818349186868;Admissões
2016;Artes, Cultura, Esporte E Recreação;27.876221498371336;Admissões
2016;Atividades Administrativas E Serviços Complementares;30.133704431346867;Admissões
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;25.569482288828336;Admissões
2016;Atividades Imobiliárias;30.891472868217054;Admissões
2016;Atividades Profissionais, Científicas E Técnicas;31.88472906403941;Admissões
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.75324109380107;Admissões
2016;Construção;34.17343555739743;Admissões
2016;Educação;31.886541111621497;Admissões
2016;Eletricidade E Gás;36.0;Admissões
2016;Indústrias De Transformação;32.2252642992681;Admissões
2016;Indústrias Extrativas;35.67894736842105;Admissões
2016;Informação E Comunicação;30.714637146371462;Admissões
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;20.5;Admissões
2016;Outras Atividades De Serviços;32.445169712793735;Admissões
2016;Saúde Humana E Serviços Sociais;32.47941802696948;Admissões
2016;Serviços Domésticos;26.0;Admissões
2016;Transporte, Armazenagem E Correio;33.20081184336199;Admissões
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31.393548387096775;Admissões
2017;Administração Pública, Defesa E Seguridade Social;41.149263950701815;Admissões
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;30.545454545454547;Admissões
2017;Alojamento E Alimentação;28.124463519313306;Admissões
2017;Artes, Cultura, Esporte E Recreação;28.53548387096774;Admissões
2017;Atividades Administrativas E Serviços Complementares;31.62305534302474;Admissões
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;24.853886010362693;Admissões
2017;Atividades Imobiliárias;30.879032258064516;Admissões
2017;Atividades Profissionais, Científicas E Técnicas;28.69655172413793;Admissões
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.38710202310571;Admissões
2017;Construção;34.537665696734564;Admissões
2017;Educação;33.81442699243746;Admissões
2017;Indústrias De Transformação;32.25575008582218;Admissões
2017;Indústrias Extrativas;34.8125;Admissões
2017;Informação E Comunicação;31.414372542009296;Admissões
2017;Organismos Internacionais E Outras Instituições Extraterritoriais;25.666666666666668;Admissões
2017;Outras Atividades De Serviços;31.373711340206185;Admissões
2017;Saúde Humana E Serviços Sociais;31.17656950672646;Admissões
2017;Transporte, Armazenagem E Correio;33.360207100591715;Admissões
2017;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;32.586854460093896;Admissões
2018;Administração Pública, Defesa E Seguridade Social;39.841219768664565;Admissões
2018;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;37.84;Admissões
2018;Alojamento E Alimentação;28.26917216861351;Admissões
2018;Artes, Cultura, Esporte E Recreação;29.595375722543352;Admissões
2018;Atividades Administrativas E Serviços Complementares;31.921837396672597;Admissões
2018;Atividades Financeiras, De Seguros E Serviços Relacionados;26.67536704730832;Admissões
2018;Atividades Imobiliárias;32.48407643312102;Admissões
2018;Atividades Profissionais, Científicas E Técnicas;28.73068820224719;Admissões
2018;"Comércio; Reparação De Veículos Automotores E Motocicletas";28.958919836278326;Admissões
2018;Construção;33.065348137867225;Admissões
2018;Educação;33.79835589941973;Admissões
2018;Eletricidade E Gás;30.0;Admissões
2018;Indústrias De Transformação;32.19460362941739;Admissões
2018;Indústrias Extrativas;36.78181818181818;Admissões
2018;Informação E Comunicação;30.745126353790614;Admissões
2018;Outras Atividades De Serviços;34.69165659008464;Admissões
2018;Saúde Humana E Serviços Sociais;31.708819975835684;Admissões
2018;Transporte, Armazenagem E Correio;33.11954022988506;Admissões
2018;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;38.63030303030303;Admissões
2019;Administração Pública, Defesa E Seguridade Social;43.01315789473684;Admissões
2019;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;32.611111111111114;Admissões
2019;Alojamento E Alimentação;28.41814865481076;Admissões
2019;Artes, Cultura, Esporte E Recreação;28.73134328358209;Admissões
2019;Atividades Administrativas E Serviços Complementares;31.774876893059556;Admissões
2019;Atividades Financeiras, De Seguros E Serviços Relacionados;26.092969203951192;Admissões
2019;Atividades Imobiliárias;30.97536945812808;Admissões
2019;Atividades Profissionais, Científicas E Técnicas;28.56095957936247;Admissões
2019;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.44523366317233;Admissões
2019;Construção;34.91067048242028;Admissões
2019;Educação;34.66417600664176;Admissões
2019;Indústrias De Transformação;32.48497554157932;Admissões
2019;Indústrias Extrativas;36.03703703703704;Admissões
2019;Informação E Comunicação;31.301963439404197;Admissões
2019;Outras Atividades De Serviços;32.960509554140124;Admissões
2019;Saúde Humana E Serviços Sociais;32.048818897637794;Admissões
2019;Transporte, Armazenagem E Correio;34.09927909371782;Admissões
2019;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;32.0;Admissões
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;25.0;Admissões
2020;Alojamento E Alimentação;28.146618063993518;Admissões
2020;Artes, Cultura, Esporte E Recreação;28.94422310756972;Admissões
2020;Atividades Administrativas E Serviços Complementares;31.58486833128667;Admissões
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;28.389830508474578;Admissões
2020;Atividades Imobiliárias;31.79874213836478;Admissões
2020;Atividades Profissionais, Científicas E Técnicas;28.59385065885798;Admissões
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.72095383054287;Admissões
2020;Construção;34.81639050604568;Admissões
2020;Educação;34.67487684729064;Admissões
2020;Indústrias De Transformação;32.907616167170744;Admissões
2020;Informação E Comunicação;32.27537796976242;Admissões
2020;Outras Atividades De Serviços;33.195945945945944;Admissões
